#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  33
# Band-Index:    1
   0.00000    -16.576285  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.02499    -16.574400  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.04998    -16.568745  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.07497    -16.559320  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.09996    -16.546124  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.12495    -16.529162  0.472  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.000  0.508
   0.14994    -16.508433  0.470  0.000  0.036  0.002  0.000  0.000  0.000  0.000  0.000  0.508
   0.17493    -16.483925  0.470  0.000  0.036  0.002  0.000  0.000  0.000  0.000  0.000  0.508
   0.19991    -16.455671  0.470  0.000  0.036  0.002  0.000  0.000  0.000  0.000  0.000  0.510
   0.22490    -16.423658  0.470  0.000  0.036  0.002  0.000  0.000  0.000  0.000  0.000  0.510
   0.24989    -16.387891  0.468  0.002  0.036  0.004  0.000  0.000  0.000  0.000  0.000  0.510
   0.27488    -16.348378  0.468  0.002  0.036  0.004  0.000  0.000  0.000  0.000  0.000  0.510
   0.29987    -16.305112  0.468  0.002  0.036  0.004  0.000  0.000  0.000  0.000  0.000  0.510
   0.32486    -16.258110  0.466  0.002  0.036  0.006  0.000  0.000  0.000  0.000  0.000  0.510
   0.34985    -16.207369  0.466  0.002  0.036  0.006  0.000  0.000  0.000  0.000  0.000  0.510
   0.37484    -16.152898  0.464  0.002  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.512
   0.39983    -16.094699  0.464  0.002  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.512
   0.42482    -16.032793  0.462  0.004  0.036  0.010  0.000  0.000  0.000  0.000  0.000  0.512
   0.44981    -15.967173  0.462  0.004  0.036  0.012  0.000  0.000  0.000  0.000  0.000  0.512
   0.47480    -15.897854  0.460  0.004  0.036  0.012  0.000  0.000  0.000  0.000  0.000  0.512
   0.49979    -15.824850  0.460  0.004  0.036  0.014  0.000  0.000  0.000  0.000  0.000  0.514
   0.52478    -15.748160  0.458  0.006  0.036  0.016  0.000  0.000  0.000  0.000  0.000  0.514
   0.54977    -15.667795  0.456  0.006  0.036  0.016  0.000  0.000  0.000  0.000  0.000  0.514
   0.57475    -15.583779  0.456  0.006  0.036  0.018  0.000  0.000  0.000  0.000  0.000  0.516
   0.59974    -15.496132  0.454  0.006  0.036  0.020  0.000  0.000  0.000  0.000  0.000  0.516
   0.62473    -15.404841  0.452  0.008  0.036  0.022  0.000  0.000  0.000  0.000  0.000  0.516
   0.64972    -15.309947  0.450  0.008  0.036  0.022  0.000  0.000  0.000  0.000  0.000  0.518
   0.67471    -15.211444  0.450  0.008  0.036  0.024  0.000  0.000  0.000  0.000  0.000  0.518
   0.69970    -15.109368  0.448  0.008  0.036  0.026  0.000  0.000  0.000  0.000  0.000  0.518
   0.72469    -15.003740  0.446  0.010  0.036  0.028  0.000  0.000  0.000  0.000  0.000  0.520
   0.74968    -14.894566  0.444  0.010  0.036  0.030  0.000  0.000  0.000  0.000  0.000  0.520
   0.77467    -14.781890  0.442  0.010  0.036  0.032  0.000  0.000  0.000  0.000  0.000  0.522
   0.79966    -14.665710  0.442  0.012  0.036  0.034  0.000  0.000  0.000  0.000  0.000  0.522
   0.82465    -14.546097  0.440  0.012  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.522
   0.84964    -14.423076  0.438  0.012  0.036  0.038  0.000  0.000  0.000  0.000  0.000  0.524
   0.87463    -14.296664  0.436  0.014  0.036  0.040  0.000  0.000  0.000  0.000  0.000  0.524
   0.89962    -14.166917  0.434  0.014  0.036  0.042  0.000  0.000  0.000  0.000  0.000  0.526
   0.92460    -14.033921  0.432  0.014  0.036  0.044  0.000  0.000  0.000  0.000  0.000  0.528
   0.94959    -13.897667  0.432  0.016  0.036  0.046  0.000  0.000  0.000  0.000  0.000  0.528
   0.97458    -13.758241  0.430  0.016  0.036  0.048  0.000  0.000  0.000  0.000  0.000  0.530
   0.99957    -13.615743  0.428  0.016  0.036  0.050  0.000  0.000  0.000  0.000  0.000  0.532
   1.02456    -13.470252  0.426  0.018  0.036  0.052  0.000  0.000  0.000  0.000  0.000  0.532
   1.04955    -13.321894  0.426  0.018  0.036  0.054  0.000  0.000  0.000  0.000  0.000  0.534
   1.07454    -13.170761  0.424  0.020  0.036  0.058  0.000  0.000  0.000  0.000  0.000  0.536
   1.09953    -13.017029  0.422  0.020  0.036  0.060  0.000  0.000  0.000  0.000  0.000  0.538
   1.12452    -12.860904  0.422  0.020  0.036  0.062  0.000  0.000  0.000  0.000  0.000  0.538
   1.14951    -12.702665  0.420  0.022  0.036  0.064  0.000  0.000  0.000  0.000  0.000  0.540
   1.17450    -12.542538  0.420  0.022  0.036  0.064  0.000  0.000  0.000  0.000  0.000  0.542
   1.19949    -12.380918  0.420  0.022  0.036  0.066  0.000  0.000  0.000  0.000  0.000  0.544
   1.22448    -12.218387  0.420  0.022  0.036  0.068  0.000  0.000  0.000  0.000  0.000  0.548
   1.24947    -12.055613  0.422  0.024  0.036  0.070  0.000  0.000  0.000  0.000  0.000  0.550
   1.27446    -11.893625  0.422  0.024  0.036  0.070  0.000  0.000  0.000  0.000  0.000  0.552
   1.29944    -11.733735  0.426  0.024  0.036  0.070  0.000  0.000  0.000  0.000  0.000  0.556
   1.32443    -11.577803  0.428  0.024  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.560
   1.34942    -11.428674  0.432  0.024  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.564
   1.37441    -11.290253  0.438  0.022  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.568
   1.39940    -11.168276  0.446  0.022  0.040  0.066  0.000  0.000  0.000  0.000  0.000  0.572
   1.42439    -11.070564  0.452  0.022  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.576
   1.44938    -11.006291  0.458  0.020  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.580
   1.47437    -10.983733  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.47437    -10.983733  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.48880    -10.983143  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.50323    -10.981372  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.51765    -10.978422  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.53208    -10.974291  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.54651    -10.969055  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.56094    -10.962572  0.460  0.020  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.57536    -10.954926  0.460  0.022  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.58979    -10.946054  0.458  0.022  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.60422    -10.936055  0.458  0.022  0.040  0.060  0.000  0.000  0.000  0.000  0.000  0.582
   1.61865    -10.924855  0.458  0.022  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.63307    -10.912492  0.458  0.022  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.64750    -10.898917  0.458  0.022  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.66193    -10.884188  0.458  0.022  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.67636    -10.868281  0.456  0.024  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.69078    -10.851197  0.456  0.024  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.70521    -10.832938  0.456  0.024  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.71964    -10.813465  0.456  0.024  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
