#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60  60
# Band-Index:    1
   0.000   -50.686  0.000  0.167  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.166
   0.046   -50.686  0.000 -0.706  0.000 -0.233  0.000  0.000  0.000  0.000  0.000 -0.939
   0.091   -50.686  0.000  0.266  0.002  0.728  0.000  0.000  0.000  0.000  0.000  0.996
   0.137   -50.687  0.000  0.251  0.000  0.744  0.000  0.000  0.000  0.000  0.000  0.996
   0.183   -50.686  0.000 -0.294 -0.002 -0.700  0.000  0.000  0.000  0.000  0.000 -0.996
   0.229   -50.686  0.000 -0.752  0.000 -0.238  0.000  0.000  0.000  0.000  0.000 -0.991
   0.274   -50.686  0.000 -0.751  0.000 -0.244  0.000  0.000  0.000  0.000  0.000 -0.996
   0.320   -50.685  0.000  0.758  0.000  0.237  0.000  0.000  0.000  0.000  0.000  0.995
   0.366   -50.686  0.000 -0.263 -0.002 -0.730  0.000  0.000  0.000  0.000  0.000 -0.996
   0.412   -50.685  0.000  0.751  0.000  0.245  0.000  0.000  0.000  0.000  0.000  0.994
   0.457   -50.685  0.000 -0.746  0.000 -0.244  0.000  0.000  0.000  0.000  0.000 -0.992
   0.503   -50.685  0.000  0.752  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.996
   0.549   -50.685  0.000  0.769  0.000  0.227  0.000  0.000  0.000  0.000  0.000  0.996
   0.595   -50.685  0.000  0.764  0.000  0.232  0.000  0.000  0.000  0.000  0.000  0.996
   0.640   -50.684  0.000  0.853  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.995
   0.686   -50.685  0.000  0.752  0.000  0.243  0.000  0.000  0.000  0.000  0.000  0.996
   0.732   -50.684  0.000  0.751  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.996
   0.778   -50.685  0.000  0.752  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.996
   0.823   -50.685  0.000  0.743  0.000  0.239  0.000  0.000  0.000  0.000  0.000  0.982
   0.869   -50.685  0.000  0.125  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.166
   0.869   -50.685  0.000  0.125  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.167
   0.896   -50.685  0.000  0.438  0.000  0.132  0.000  0.000  0.000  0.000  0.000  0.570
   0.922   -50.685  0.000  0.739  0.001  0.224  0.000  0.000  0.000  0.000  0.000  0.964
   0.948   -50.685  0.000  0.762  0.001  0.218  0.000  0.000  0.000  0.000  0.000  0.982
   0.975   -50.684  0.000  0.816  0.002  0.171  0.000  0.000  0.000  0.000  0.000  0.990
   1.001   -50.685  0.000  0.751  0.001  0.227  0.000  0.000  0.000  0.000  0.000  0.978
   1.028   -50.684  0.000  0.690  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.906
   1.054   -50.684  0.000  0.735  0.001  0.225  0.000  0.000  0.000  0.000  0.000  0.960
   1.080   -50.685  0.000  0.724  0.001  0.224  0.000  0.000  0.000  0.000  0.000  0.948
   1.107   -50.684  0.000  0.682  0.000  0.208  0.000  0.000  0.000  0.000  0.000  0.890
   1.133   -50.685  0.000  0.165  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.211
   1.160   -50.685  0.000 -0.113  0.000 -0.040  0.000  0.000  0.000  0.000  0.000 -0.154
   1.186   -50.685  0.000 -0.618  0.000 -0.191  0.000  0.000  0.000  0.000  0.000 -0.809
   1.213   -50.685  0.000 -0.723 -0.001 -0.226  0.000  0.000  0.000  0.000  0.000 -0.950
   1.239   -50.685  0.000 -0.738 -0.001 -0.220  0.000  0.000  0.000  0.000  0.000 -0.959
   1.265   -50.684  0.000 -0.572  0.000 -0.164  0.000  0.000  0.000  0.000  0.000 -0.736
   1.292   -50.685  0.000 -0.739 -0.001 -0.203  0.000  0.000  0.000  0.000  0.000 -0.944
   1.318   -50.685  0.000 -0.330  0.000 -0.119  0.000  0.000  0.000  0.000  0.000 -0.450
   1.345   -50.685  0.000  0.275  0.000  0.179  0.000  0.000  0.000  0.000  0.000  0.454
   1.371   -50.685  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.120
   1.371   -50.685  0.000  0.121  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.121
   1.424   -50.685  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.122
   1.477   -50.685  0.000  0.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   1.530   -50.686  0.000  0.117  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.582   -50.685  0.000  0.117  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.635   -50.685  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.116
   1.688   -50.686  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.118
   1.741   -50.686  0.000  0.153  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.153
   1.794   -50.686  0.000  0.140  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.140
   1.846   -50.686  0.000  0.138  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.138
   1.899   -50.686  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.143
   1.952   -50.686  0.000  0.150  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.150
   2.005   -50.685  0.000  0.151  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.151
   2.058   -50.685  0.000  0.156  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.156
   2.111   -50.686  0.000  0.192  0.000  0.091  0.000  0.000  0.000  0.000  0.000  0.282
   2.163   -50.686  0.000  0.000  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.224
   2.216   -50.686  0.000  0.000  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.173
   2.269   -50.686  0.000  0.000  0.000  0.163  0.000  0.000  0.000  0.000  0.000  0.163
   2.322   -50.686  0.000  0.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.157
   2.375   -50.686  0.000  0.167  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.166
# Band-Index:    2
   2.375   -50.686  0.000 -0.165  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.166
   2.322   -50.686  0.000 -0.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.157
   2.269   -50.686  0.000  0.000  0.000 -0.163  0.000  0.000  0.000  0.000  0.000 -0.163
   2.216   -50.686  0.000  0.000  0.000 -0.173  0.000  0.000  0.000  0.000  0.000 -0.173
   2.163   -50.686  0.000  0.000  0.000 -0.224  0.000  0.000  0.000  0.000  0.000 -0.224
   2.111   -50.686  0.000 -0.192  0.000 -0.093  0.000  0.000  0.000  0.000  0.000 -0.284
   2.058   -50.685  0.000 -0.156  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.156
   2.005   -50.685  0.000 -0.151  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.151
   1.952   -50.686  0.000 -0.150  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.150
   1.899   -50.686  0.000 -0.143  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.143
   1.846   -50.686  0.000 -0.138  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.138
   1.794   -50.686  0.000 -0.140  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.140
