#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 540  33
# Band-Index:    1
   0.00000    -13.921323  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.01379    -13.920885  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.02758    -13.919535  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.04138    -13.917274  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.05517    -13.914102  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.06896    -13.910022  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.08275    -13.905043  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.09654    -13.899185  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   0.11034    -13.892407  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   0.12413    -13.884749  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   0.13792    -13.876202  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   0.15171    -13.866792  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.620
   0.16550    -13.856494  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.620
   0.17930    -13.845373  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.620
   0.19309    -13.833405  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.621
   0.20688    -13.820613  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.621
   0.22067    -13.807005  0.611  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.622
   0.23446    -13.792594  0.611  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.622
   0.24826    -13.777398  0.612  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.623
   0.26205    -13.761433  0.612  0.004  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.624
   0.27584    -13.744700  0.613  0.005  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.624
   0.28963    -13.727257  0.614  0.005  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.625
   0.30342    -13.709106  0.614  0.005  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.626
   0.31722    -13.690272  0.615  0.005  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.627
   0.33101    -13.670788  0.614  0.005  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.628
   0.34480    -13.650685  0.615  0.005  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.629
   0.35859    -13.629974  0.616  0.005  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.630
   0.37238    -13.608704  0.617  0.005  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.631
   0.38618    -13.586880  0.618  0.005  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.632
   0.39997    -13.564574  0.619  0.005  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.633
   0.41376    -13.541828  0.618  0.005  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.634
   0.42755    -13.518659  0.619  0.006  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.635
   0.44134    -13.495146  0.620  0.006  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.637
   0.45514    -13.471295  0.622  0.007  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.638
   0.46893    -13.447180  0.621  0.007  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.640
   0.48272    -13.422861  0.622  0.007  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.641
   0.49651    -13.398407  0.624  0.007  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.643
   0.51030    -13.373865  0.626  0.007  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.644
   0.52410    -13.349336  0.625  0.007  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.644
   0.53789    -13.324887  0.627  0.007  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.646
   0.55168    -13.300582  0.629  0.007  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.648
   0.56547    -13.276516  0.628  0.007  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.649
   0.57926    -13.252782  0.630  0.008  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.651
   0.59306    -13.229452  0.630  0.008  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.653
   0.60685    -13.206710  0.632  0.008  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.653
   0.62064    -13.184586  0.634  0.008  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.655
   0.63443    -13.163222  0.634  0.008  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.657
   0.64822    -13.142736  0.636  0.008  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.659
   0.66202    -13.123283  0.636  0.008  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.659
   0.67581    -13.104940  0.638  0.008  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.661
   0.68960    -13.087847  0.638  0.008  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.663
   0.70339    -13.072136  0.639  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.663
   0.71718    -13.057906  0.639  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.664
   0.73098    -13.045269  0.640  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.666
   0.74477    -13.034387  0.642  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.667
   0.75856    -13.025327  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.77235    -13.018175  0.642  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.667
   0.78614    -13.012999  0.642  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.79994    -13.009857  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.81373    -13.008777  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.81373    -13.008777  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
