#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index    1
   0.00000    -24.278518  0.000  0.000  0.000  0.000  0.392  0.100  0.000  0.100  0.392  0.984
   0.04182    -24.278880  0.000  0.000  0.000  0.000  0.391  0.100  0.000  0.100  0.391  0.984
   0.08364    -24.279187  0.000  0.000  0.000  0.000  0.392  0.101  0.000  0.101  0.392  0.984
   0.12545    -24.279706  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.16727    -24.280367  0.000  0.000  0.000  0.000  0.392  0.101  0.000  0.101  0.392  0.984
   0.20909    -24.281229  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.25091    -24.282523  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.29272    -24.283584  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.33454    -24.284705  0.000  0.000  0.000  0.000  0.390  0.102  0.000  0.102  0.390  0.984
   0.37636    -24.285794  0.000  0.000  0.000  0.000  0.390  0.102  0.000  0.102  0.390  0.984
   0.41818    -24.286938  0.000  0.000  0.000  0.000  0.389  0.102  0.000  0.102  0.389  0.984
   0.45999    -24.288016  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.50181    -24.288726  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.54363    -24.289067  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.58545    -24.290478  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.62726    -24.291223  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.983
   0.66908    -24.291792  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.983
   0.71090    -24.291864  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.75272    -24.292093  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.79454    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.79454    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.84494    -24.292363  0.000  0.000  0.000  0.000  0.389  0.096  0.000  0.111  0.387  0.983
   0.89535    -24.292195  0.000  0.000  0.000  0.000  0.388  0.089  0.003  0.122  0.382  0.984
   0.94576    -24.292054  0.000  0.000  0.000  0.000  0.382  0.070  0.011  0.149  0.372  0.984
   0.99617    -24.291783  0.000  0.000  0.000  0.000  0.367  0.056  0.027  0.182  0.351  0.983
   1.04658    -24.291061  0.000  0.000  0.000  0.000  0.346  0.049  0.049  0.214  0.325  0.984
   1.09699    -24.290984  0.000  0.000  0.000  0.000  0.326  0.050  0.069  0.237  0.301  0.983
   1.14740    -24.291019  0.000  0.000  0.000  0.000  0.304  0.052  0.091  0.258  0.278  0.984
   1.19781    -24.291423  0.000  0.000  0.000  0.000  0.287  0.055  0.108  0.275  0.258  0.983
   1.24822    -24.291976  0.000  0.000  0.000  0.000  0.275  0.060  0.120  0.283  0.245  0.984
   1.29863    -24.292398  0.000  0.000  0.000  0.000  0.266  0.063  0.129  0.291  0.234  0.983
   1.34904    -24.292727  0.000  0.000  0.000  0.000  0.257  0.066  0.137  0.297  0.227  0.983
   1.39945    -24.293176  0.000  0.000  0.000  0.000  0.249  0.069  0.144  0.302  0.218  0.984
   1.44986    -24.293490  0.000  0.000  0.000  0.000  0.245  0.070  0.150  0.307  0.212  0.984
   1.50027    -24.293567  0.000  0.000  0.000  0.000  0.240  0.073  0.154  0.309  0.207  0.984
   1.55068    -24.293675  0.000  0.000  0.000  0.000  0.236  0.074  0.158  0.312  0.204  0.984
   1.60108    -24.294296  0.000  0.000  0.000  0.000  0.234  0.074  0.159  0.313  0.202  0.983
   1.65149    -24.294549  0.000  0.000  0.000  0.000  0.234  0.074  0.159  0.314  0.201  0.983
   1.70190    -24.294746  0.000  0.000  0.000  0.000  0.232  0.075  0.162  0.315  0.199  0.983
   1.75231    -24.294794  0.000  0.000  0.000  0.000  0.232  0.076  0.162  0.316  0.198  0.984
   1.75231    -24.294794  0.000  0.000  0.000  0.000  0.232  0.076  0.162  0.316  0.198  0.984
   1.79656    -24.294909  0.000  0.000  0.000  0.000  0.231  0.076  0.163  0.315  0.199  0.983
   1.84082    -24.294532  0.000  0.000  0.000  0.000  0.231  0.078  0.162  0.312  0.199  0.983
   1.88507    -24.294167  0.000  0.000  0.000  0.000  0.231  0.081  0.162  0.309  0.201  0.984
   1.92932    -24.293452  0.000  0.000  0.000  0.000  0.231  0.085  0.163  0.305  0.201  0.983
   1.97357    -24.292564  0.000  0.000  0.000  0.000  0.230  0.091  0.163  0.298  0.203  0.983
   2.01782    -24.291612  0.000  0.000  0.000  0.000  0.229  0.097  0.162  0.291  0.204  0.983
   2.06207    -24.290567  0.000  0.000  0.000  0.000  0.228  0.106  0.163  0.282  0.205  0.983
   2.10632    -24.288899  0.000  0.000  0.000  0.000  0.228  0.114  0.163  0.271  0.208  0.984
   2.15058    -24.287203  0.000  0.000  0.000  0.000  0.226  0.125  0.163  0.260  0.210  0.983
   2.19483    -24.285345  0.000  0.000  0.000  0.000  0.227  0.137  0.161  0.247  0.213  0.984
   2.23908    -24.283691  0.000  0.000  0.000  0.000  0.228  0.148  0.160  0.233  0.216  0.984
   2.28333    -24.282103  0.000  0.000  0.000  0.000  0.227  0.158  0.159  0.220  0.219  0.984
   2.32758    -24.280428  0.000  0.000  0.000  0.000  0.228  0.172  0.158  0.203  0.223  0.984
